sample_ratio,class_weight,resample_strat,depth,classifier,f1,sub_sample_ratio,ins_sample_ratio
,0,upsample,5,tree,0.43319977264103054,0.049999999999999996,0.049999999999999996
,0,upsample,6,tree,0.47948766671783355,0.049999999999999996,0.049999999999999996
,0,upsample,7,tree,0.4831084936379218,0.049999999999999996,0.049999999999999996
,0,upsample,8,tree,0.49006652895416014,0.049999999999999996,0.049999999999999996
,0,upsample,9,tree,0.41611000735519793,0.049999999999999996,0.049999999999999996
,0,upsample,5,tree,0.43196615808948735,0.049999999999999996,0.07071067811865475
,0,upsample,6,tree,0.4798608980029384,0.049999999999999996,0.07071067811865475
,0,upsample,7,tree,0.481871649822096,0.049999999999999996,0.07071067811865475
,0,upsample,8,tree,0.41925119285435525,0.049999999999999996,0.07071067811865475
,0,upsample,9,tree,0.5057760710499831,0.049999999999999996,0.07071067811865475
,0,upsample,5,tree,0.46958945230599486,0.049999999999999996,0.1
,0,upsample,6,tree,0.4700721098183418,0.049999999999999996,0.1
,0,upsample,7,tree,0.4703333280078021,0.049999999999999996,0.1
,0,upsample,8,tree,0.5114056727570832,0.049999999999999996,0.1
,0,upsample,9,tree,0.4587502862174358,0.049999999999999996,0.1
,0,upsample,5,tree,0.4751063124230495,0.049999999999999996,0.1414213562373095
,0,upsample,6,tree,0.4555104221880155,0.049999999999999996,0.1414213562373095
,0,upsample,7,tree,0.49740729457571814,0.049999999999999996,0.1414213562373095
,0,upsample,8,tree,0.47992085154382,0.049999999999999996,0.1414213562373095
,0,upsample,9,tree,0.4745557010319279,0.049999999999999996,0.1414213562373095
,0,upsample,5,tree,0.47095765045292404,0.049999999999999996,0.20000000000000004
,0,upsample,6,tree,0.48570556646571167,0.049999999999999996,0.20000000000000004
,0,upsample,7,tree,0.4968128775535505,0.049999999999999996,0.20000000000000004
,0,upsample,8,tree,0.4854429043477688,0.049999999999999996,0.20000000000000004
,0,upsample,9,tree,0.4734601352872491,0.049999999999999996,0.20000000000000004
,0,upsample,5,tree,0.43231745668501365,0.07071067811865475,0.049999999999999996
,0,upsample,6,tree,0.4087997608845215,0.07071067811865475,0.049999999999999996
,0,upsample,7,tree,0.4107374323703703,0.07071067811865475,0.049999999999999996
,0,upsample,8,tree,0.4218302710871255,0.07071067811865475,0.049999999999999996
,0,upsample,9,tree,0.4808380679443496,0.07071067811865475,0.049999999999999996
,0,upsample,5,tree,0.43269053959242765,0.07071067811865475,0.07071067811865475
,0,upsample,6,tree,0.40886056815153426,0.07071067811865475,0.07071067811865475
,0,upsample,7,tree,0.4190340941038617,0.07071067811865475,0.07071067811865475
,0,upsample,8,tree,0.4225235055654095,0.07071067811865475,0.07071067811865475
,0,upsample,9,tree,0.497343163569886,0.07071067811865475,0.07071067811865475
,0,upsample,5,tree,0.4149817411334141,0.07071067811865475,0.1
,0,upsample,6,tree,0.47112478723968393,0.07071067811865475,0.1
,0,upsample,7,tree,0.4772303625864984,0.07071067811865475,0.1
,0,upsample,8,tree,0.507990804288947,0.07071067811865475,0.1
,0,upsample,9,tree,0.4659473310799806,0.07071067811865475,0.1
,0,upsample,5,tree,0.4754356592432538,0.07071067811865475,0.1414213562373095
,0,upsample,6,tree,0.4567434705793883,0.07071067811865475,0.1414213562373095
,0,upsample,7,tree,0.48521244118410656,0.07071067811865475,0.1414213562373095
,0,upsample,8,tree,0.5023569876362266,0.07071067811865475,0.1414213562373095
